2025-06-02 14:02:42 | bitcoin | Shooting Star | 1.00 | $104065.00 | Use discretion. Validate before trading.
2025-06-02 19:01:44 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:02:15 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:02:15 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:02:15 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:02:45 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:02:45 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:02:45 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:03:16 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:03:16 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:03:16 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:03:46 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:03:46 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:03:46 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:04:16 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:04:16 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:04:16 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:04:47 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:04:47 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:04:47 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:05:17 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:05:17 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:05:17 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:05:48 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:05:48 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:05:48 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:06:18 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:06:18 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:06:18 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:06:49 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:06:49 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:06:49 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:07:19 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:07:19 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:07:19 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:07:49 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:07:49 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:07:49 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:08:20 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:08:20 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:08:20 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:08:50 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:08:50 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:08:50 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:09:21 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:09:21 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:09:21 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:09:51 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:09:51 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:09:51 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:10:22 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:10:22 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:10:22 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:10:52 | bitcoin | Marubozu | 0.90 | $104532.00 | Use discretion. Validate before trading.
2025-06-02 19:10:52 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:10:52 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:11:23 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:11:23 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:11:23 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:11:53 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:11:53 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:11:53 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:12:23 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:12:23 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:12:23 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:12:54 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:12:54 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:12:54 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:13:24 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:13:24 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:13:24 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:13:55 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:13:55 | ethereum | Marubozu | 0.90 | $2554.41 | Use discretion. Validate before trading.
2025-06-02 19:13:55 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:14:25 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:14:25 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:14:25 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:14:56 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:14:56 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:14:56 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:15:26 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:15:26 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:15:26 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:15:56 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:15:56 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:15:56 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:16:27 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:16:27 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:16:27 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:16:57 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:16:57 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:16:57 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:17:28 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:17:28 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:17:28 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:17:58 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:17:58 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:17:58 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:18:28 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:18:28 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:18:28 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:18:59 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:18:59 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:18:59 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:19:29 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:19:29 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:20:00 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:20:00 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:20:00 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:20:30 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:20:30 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:20:30 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:21:01 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:21:01 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:21:01 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:21:31 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:21:31 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:21:31 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:22:02 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:22:02 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:22:02 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:22:32 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:22:32 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:23:03 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:23:03 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:23:03 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:23:33 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:23:33 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:24:04 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:24:04 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:24:04 | solana | Marubozu | 0.90 | $153.97 | Use discretion. Validate before trading.
2025-06-02 19:24:34 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:24:34 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:25:04 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:25:04 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:25:35 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:25:35 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:26:06 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:26:06 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:26:36 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:26:36 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:27:06 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:27:06 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:27:37 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:27:37 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:28:07 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:28:07 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:28:38 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:28:38 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:29:08 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:29:08 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:29:39 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:29:39 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:30:09 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:30:09 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:30:39 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:30:39 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:31:20 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:31:20 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:31:50 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:31:50 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:32:26 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:32:56 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:32:56 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:33:27 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:33:27 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:33:59 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:33:59 | ethereum | Marubozu | 0.90 | $2547.00 | Use discretion. Validate before trading.
2025-06-02 19:34:30 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:34:30 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:35:01 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:35:01 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:35:32 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:35:32 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:36:03 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:36:03 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:36:33 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:36:33 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:37:04 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:37:04 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:37:34 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:37:34 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:38:05 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:38:05 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:38:36 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:38:36 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
2025-06-02 19:39:06 | bitcoin | Marubozu | 0.90 | $104411.00 | Use discretion. Validate before trading.
2025-06-02 19:39:06 | ethereum | Marubozu | 0.90 | $2542.86 | Use discretion. Validate before trading.
